Title,IMDb ID
The Boy and the Heron,tt6587046
Bridget Jones's Diary,tt0243155
The Tourist,tt1243957
Split,tt4972582
Scary Movie,tt0175142
xXx,tt0295701
Blade Runner 2049,tt1856101
Creed III,tt11145118
The Bourne Legacy,tt1194173
Mr. Peabody & Sherman,tt0864835
Scooby-Doo,tt0267913
Lincoln,tt0443272
Tomb Raider,tt1365519
Lara Croft: Tomb Raider,tt0146316
The Expendables,tt1320253
Cloudy with a Chance of Meatballs 2,tt1985966
The Nutty Professor,tt0117218
Jerry Maguire,tt0116695
Bad Boys II,tt0172156
Lilo & Stitch,tt0275847
The Silence of the Lambs,tt0102926
Grown Ups,tt1375670
The Flash,tt0439572
Neighbors,tt2004420
The Firm,tt0106918
We're the Millers,tt1723121
Gran Torino,tt1205489
"10,000 BC",tt0443649
American Gangster,tt0765429
The Nun II,tt10160976
Epic,tt0848537
Exodus: Gods and Kings,tt1528100
This Is It,tt1477715
Bambi,tt0034492
The Princess and the Frog,tt0780521
Batman Returns,tt0103776
Indecent Proposal,tt0107211
Something's Gotta Give,tt0337741
Bridget Jones: The Edge of Reason,tt0317198
The Incredible Hulk,tt0800080
Waterworld,tt0114898
The Truman Show,tt0120382
Charlie's Angels,tt0160127
The Fifth Element,tt0119116
Jumanji,tt0113497
Parasite,tt6751668
Borat,tt0443453
Robots,tt0358082
Knight and Day,tt1013743
A Quiet Place: Day One,tt13433802
Taylor Swift: The Eras Tour,tt28814949
Total Recall,tt0100802
Encanto,tt2953050
Terminator: Dark Fate,tt6450804
The Lone Ranger,tt1210819
Super 8,tt1650062
Halloween,tt1502407
Mojin: The Lost Legend,tt4276752
Charlie's Angels: Full Throttle,tt0305357
Rush Hour 3,tt0293564
The Full Monty,tt0119164
Kung Fu Yoga,tt4217392
Annabelle,tt3322940
The Garfield Movie,tt5779228
The Village,tt0368447
Lost in Hong Kong,tt4242158
Erin Brockovich,tt0195685
Us,tt6857112
Pegasus,tt9597190
Get Out,tt5052448
Marley & Me,tt0822832
Cliffhanger,tt0106582
Wish,tt11304740
Baahubali 2: The Conclusion,tt4849438
Babe,tt0112431
Men in Black: International,tt2283336
Wild Hogs,tt0486946
High School Musical 3: Senior Year,tt0962726
Hercules,tt0119282
X-Men: Dark Phoenix,tt6565702
True Grit,tt1403865
Dolittle,tt6673612
Bean,tt0118689
American Hustle,tt1800241
Boonie Bears: Time Twist,tt29632994
Enemy of the State,tt0120660
You've Got Mail,tt0128853
Love Actually,tt0314331
Sound of Freedom,tt7599146
Eragon,tt0449010
Brother Bear,tt0328880
The Bad Guys,tt8115900
The Godfather,tt0068646
Chang An,tt27922374
The Mask of Zorro,tt0120746
The Ring,tt0298130
The Blair Witch Project,tt0185937
Unbreakable,tt0217869
Journey to the West: The Demons Strike Back,tt5273624
Dumb and Dumber,tt0109686
Glass,tt6823368
Grown Ups 2,tt2191701
The First Slam Dunk,tt15242330
The Peanuts Movie,tt2452042
Rango,tt1192628
Four Weddings and a Funeral,tt0109831
Face/Off,tt0119094
Teenage Mutant Ninja Turtles: Out of the Shadows,tt3949660
Dark Shadows,tt1077368
Hulk,tt0286716
The Bravest,tt10218674
Welcome to the Sticks,tt1064932
Back to the Future Part III,tt0099088
Pixels,tt2120120
Hercules,tt1267297
Rush Hour,tt0120812
Journey to the Center of the Earth,tt0373051
Sully,tt3263904
After Earth,tt1815862
A Few Good Men,tt0104257
Cloudy with a Chance of Meatballs,tt0844471
8 Mile,tt0298203
Daddy's Home,tt1528854
RoboCop,tt1234721
Eraser,tt0116213
Howl's Moving Castle,tt0347149
Alien: Covenant,tt2316204
Assassin's Creed,tt2094766
Click,tt0389860
Jiang Ziya,tt11177804
Planes,tt1691917
Resident Evil: Retribution,tt1855325
Die Hard 2,tt0099423
Crocodile Dundee II,tt0092493
Crazy Rich Asians,tt3104988
Bullet Train,tt12593682
Batman & Robin,tt0118688
Gulliver's Travels,tt1320261
Gone in 60 Seconds,tt0187078
Green Lantern,tt1133985
Saturday Night Fever,tt0076666
Silver Linings Playbook,tt1045658
2 Fast 2 Furious,tt0322259
Hidden Figures,tt4846340
A.I. Artificial Intelligence,tt0212720
Dead Poets Society,tt0097165
Spy,tt3079380
American Pie,tt0163651
American Reunion,tt1605630
Big Daddy,tt0142342
Alvin and the Chipmunks: The Road Chip,tt2974918
The Imitation Game,tt2084970
Cruella,tt3228774
The Day the Earth Stood Still,tt0970416
American Wedding,tt0328828
The Girl with the Dragon Tattoo,tt1568346
Juno,tt0467406
Argo,tt1024648
Mr. Bean's Holiday,tt0453451
The English Patient,tt0116209
Sister Act,tt0105417
Annabelle Comes Home,tt8350360
Constantine,tt0360486
Get Smart,tt0425061
Space Jam,tt0117705
Elf,tt0319343
Life Is Beautiful,tt0118799
The Heat,tt2404463
Ghostbusters,tt1289401
Ghost Rider,tt0259324
Goodbye Mr. Loser,tt5061814
Sleepless in Seattle,tt0108160
Lethal Weapon 2,tt0097733
The Green Hornet,tt0990407
Out of Africa,tt0089755
Better Days,tt9586294
Youth,tt6654316
Baby Driver,tt3890160
Immortals,tt1253864
Taken,tt0936501
Percy Jackson & the Olympians: The Lightning Thief,tt0814255
Lightyear,tt10298810
Hansel & Gretel: Witch Hunters,tt1428538
Ford v Ferrari,tt1950186
Valerian and the City of a Thousand Planets,tt2239822
Good Will Hunting,tt0119217
Jumper,tt0489099
The Social Network,tt1285016
Chicken Run,tt0120630
Con Air,tt0118880
Interview with the Vampire,tt0110148
Flightplan,tt0408790
Yes Man,tt1068680
Non-Stop,tt2024469
"Honey, I Shrunk the Kids",tt0097523
Fahrenheit 9/11,tt0361596
Wild Wild West,tt0120891
Geostorm,tt1981128
"My Country, My Parents",tt15465312
The Help,tt1454029
Napoleon,tt13287846
Presumed Innocent,tt0100404
Jungle Cruise,tt0870154
Scary Movie 3,tt0306047
Anyone But You,tt26047818
Collateral,tt0369339
Inferno,tt3062096
Knocked Up,tt0478311
What Happens in Vegas,tt1033643
It's Complicated,tt1230414
The Terminal,tt0362227
Captain Phillips,tt1535109
The Prince of Egypt,tt0120794
Jack Reacher,tt0790724
Kingdom of Heaven,tt0320661
Smallfoot,tt6182908
Boonie Bears: Guardian Code,tt25981462
The Emoji Movie,tt4877122
Smile,tt15474916
Too Cool to Kill,tt16254308
Dracula Untold,tt0829150
Central Intelligence,tt1489889
Million Dollar Baby,tt0405159
Twins,tt0096320
Valentine's Day,tt0817230
Superman II,tt0081573
Bad Teacher,tt1284575
A Little Red Flower,tt12497408
The Croods: A New Age,tt2850386
Clear and Present Danger,tt0109444
One Hundred and One Dalmatians,tt0055254
Ted 2,tt2637276
Bram Stoker's Dracula,tt0103874
