Title,IMDb ID
 Beauty and the Beast,tt2771200
 The Greatest Showman,tt1485796
 Corpse Bride,tt0121164
 Grease,tt0077631
 Aladdin,tt6139732
 The Jungle Book,tt3040964
 Mamma Mia!,tt0795421
 The Lion King,tt6105098
 Encanto,tt2953050
 Gone Girl,tt2267998
 Donnie Darko,tt0246578
 The Batman,tt1877830
 Arrival,tt2543164
 Now You See Me,tt1670345
 Blade Runner 2049,tt1856101
 Sherlock Holmes,tt0988045
 Titanic,tt0120338
 Silver Linings Playbook,tt1045658
 The Curious Case of Benjamin Button,tt0421715
 Groundhog Day,tt0107048
 Her,tt1798709
 Cast Away,tt0162222
 The Notebook,tt0332280
 The Great Gatsby,tt1343092
" Crazy, Stupid, Love",tt1570728
 (500) Days of Summer,tt1022603
 Love Actually,tt0314331
 Edward Scissorhands,tt0099487
 The Terminal,tt0362227
 Real Steel,tt0433035
 Jerry Maguire,tt0116695
 Dodgeball: A True Underdog Story,tt0364725
 Southpaw,tt1798684
 Happy Gilmore,tt0116483
 The Karate Kid,tt0087538
 Rocky II,tt0079817
 Rocky Balboa,tt0479143
 Rocky IV,tt0089927
 Cars 2,tt1216475
 Die Hard,tt0095016
 Captain America: The Winter Soldier,tt1843866
 Logan,tt3315342
 Wonder Woman,tt0451279
 Fury,tt2713180
 The Hurt Locker,tt0887912
 Tropic Thunder,tt0942385
 Jojo Rabbit,tt2584384
 Platoon,tt0091763
 The Deer Hunter,tt0077416
 Rango,tt1192628
 The Lone Ranger,tt1210819
 Cowboys & Aliens,tt0409847
 The Magnificent Seven,tt2404435
 A Million Ways to Die in the West,tt2557490
 The Mask of Zorro,tt0120746
 Desperado,tt0112851
 The Power of the Dog,tt10293406
 Radhe,tt10888594
 Adipurush,tt12915716
 Brahmastra Part One: Shiva,tt6277462
 Premium Rush,tt1547234
 16 Blocks,tt0450232
 K,tt7838252
 Yip Man 2,tt1386932
 Pathaan,tt12844910
 Bãhubali 2: The Conclusion,tt4849438
 30 Minutes or Less,tt1622547
 Green Zone,tt0947810
 Gangs of Wasseypur,tt1954470
 Jackass: The Movie,tt0322802
 Lockout,tt1592525
 Contraband,tt1524137
 Tower Heist,tt0471042
 Kantara,tt15327088
 Let's Be Cops,tt1924435
 The General,tt0017925
 Shi mian mai fu,tt0385004
 Bãhubali: The Beginning,tt2631186
 Shanghai Knights,tt0300471
 Hodejegerne,tt1614989
 A Christmas Carol,tt1067106
 Tenacious D in The Pick of Destiny,tt0365830
 Safety Not Guaranteed,tt1862079
 Paper Towns,tt3622592
 ParaNorman,tt1623288
 Extremely Loud & Incredibly Close,tt0477302
 Jingle All the Way,tt0116705
 Dumbo,tt0033563
 Bajrangi Bhaijaan,tt3863552
 The Legend of Zorro,tt0386140
 The Walk,tt3488710
 Harold & Kumar Escape from Guantanamo Bay,tt0481536
 Flags of Our Fathers,tt0418689
 Shanghai Noon,tt0184894
 R,tt0790736
 Bambi,tt0034492
 Nerve,tt3531824
 Frankenweenie,tt1142977
 Open Season,tt0400717
 Cloudy with a Chance of Meatballs 2,tt1985966
 The Simpsons Movie,tt0462538
 Hotel Transylvania 2,tt2510894
 Horton Hears a Who!,tt0451079
 Penguins of Madagascar,tt1911658
 Rise of the Guardians,tt1446192
 Ice Age: The Meltdown,tt0438097
 The Sword in the Stone,tt0057546
 Chicken Little,tt0371606
 Karigurashi no Arietti,tt1568921
 Kurenai no buta,tt0104652
 The Grinch,tt2709692
 Bee Movie,tt0389790
 Monster House,tt0385880
 The Fox and the Hound,tt0082406
 The Polar Express,tt0338348
 Le scaphandre et le papillon,tt0401383
 I Love You Phillip Morris,tt1045772
 Frost/Nixon,tt0870111
 The Queen,tt0436697
 J,tt1616195
 Jobs,tt2357129
 Ali,tt0248667
 The Iron Lady,tt1007029
 The People vs,tt0117318
 Philomena,tt2431286
 Big Eyes,tt1126590
 Eddie the Eagle,tt1083452
 Patton,tt0066206
 Saving Mr,tt2140373
" Good Night, and Good Luck",tt0433383
 Men of Honor,tt0203019
 Born on the Fourth of July,tt0096969
 Concussion,tt3322364
 Rescue Dawn,tt0462504
 Finding Neverland,tt0308644
 Rang De Basanti,tt0405508
 Laal Singh Chaddha,tt10028196
 Last Vegas,tt1204975
 Identity Thief,tt2024432
 The Men Who Stare at Goats,tt1234548
 Analyze This,tt0122933
 The Rum Diary,tt0376136
 It's Kind of a Funny Story,tt0804497
 Bowling for Columbine,tt0310793
 The Interpreter,tt0373926
 Andhadhun,tt8108198
 Hostage,tt0340163
 The International,tt0963178
 Trance,tt1924429
 Jawan,tt15354916
 Intolerable Cruelty,tt0138524
 Eraser,tt0116213
 Ride Along,tt1408253
 Unleashed,tt0342258
 The Killing,tt0049406
 Touch of Evil,tt0052311
 The Negotiator,tt0120768
 Mr,tt1396218
 Paul Blart: Mall Cop,tt1114740
 The Santa Clause,tt0111070
 Bean,tt0118689
 Percy Jackson: Sea of Monsters,tt1854564
 Evan Almighty,tt0413099
 The Game Plan,tt0492956
 A Christmas Story,tt0085334
 Black Mirror: Bandersnatch,tt9495224
 Red Riding Hood,tt1486185
 Ruby Sparks,tt1839492
 If I Stay,tt1355630
 Lady in the Water,tt0452637
" 10,000 BC",tt0443649
 Gremlins 2: The New Batch,tt0099700
 Dead Man,tt0112817
 The Brothers Grimm,tt0355295
 Catwoman,tt0327554
 The Jacket,tt0366627
 Underworld: Awakening,tt1496025
 Foxcatcher,tt1100089
 Invictus,tt1057500
 United 93,tt0475276
 Across the Universe,tt0445922
 Milk,tt1013753
 The Other Boleyn Girl,tt0467200
 The Last Emperor,tt0093389
 The Last King of Scotland,tt0455590
 Cool Runnings,tt0106611
 The Way Back,tt1023114
 Seven Years in Tibet,tt0120102
 Paranormal Activity 3,tt1778304
 Paranormal Activity 2,tt1536044
 Saw VI,tt1233227
 The Rite,tt1161864
 The Ring Two,tt0377109
 Saw V,tt1132626
 Saw IV,tt0890870
 Halloween II,tt0082495
 Mirrors,tt0790686
 Insidious: Chapter 3,tt3195644
 Trick 'r Treat,tt0862856
 Land of the Dead,tt0418819
 The Purge: Anarchy,tt2975578
 Saw 3D,tt1477076
 Vacancy,tt0452702
 Insidious: Chapter 2,tt2226417
 Halloween Kills,tt10665338
 The Boy,tt3882082
 Fright Night,tt1438176
 Devil,tt1314655
 The Purge: Election Year,tt4094724
 Get Him to the Greek,tt1226229
 Rio 2,tt2357291
 August Rush,tt0426931
 Inside Llewyn Davis,tt2042568
 Freaky Friday,tt0322330
 Pitch Perfect 2,tt2848292
 Bill & Ted's Excellent Adventure,tt0096928
 Music and Lyrics,tt0758766
 Green Room,tt4062536
