Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2022,87,370549695,6.5,69,56,95949,7,Summer,0,6,1,18,6,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,179,345518923,8.8,95,87,1849993,12,Winter,1,8,1,19,14,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,93,444854717,7.4,89,75,519980,5,Spring,0,9,1,29,7,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,134,216668042,7.9,60,49,613153,11,Fall,1,9,1,3,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021,176,342411,5.5,36,52,4326,9,Fall,0,8,1,12,4,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005,157,290469928,7.7,88,81,705976,11,Fall,1,5,1,26,9,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,139,337281992,6.3,63,59,660144,5,Spring,0,9,1,12,9,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,178,319372078,8.9,92,92,2082432,12,Winter,1,8,1,20,14,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,94,196573705,6.9,46,50,272484,7,Summer,0,7,1,18,5,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,161,262641637,7.4,82,63,719337,11,Fall,1,9,1,26,11,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,133,334952829,7.4,92,73,747042,7,Summer,0,3,1,18,10,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,148,200074609,6.8,63,60,477388,11,Fall,1,6,1,17,18,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,88,161321843,6.5,37,49,231694,7,Summer,0,4,1,18,5,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,86,368623860,6.5,71,61,224438,7,Summer,0,4,1,12,21,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,151,330360194,6.5,29,44,767293,3,Spring,0,10,1,21,11,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,123,2721100,5.9,67,44,9114,7,Summer,0,1,1,9,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,146,424668047,7.5,90,76,738279,11,Fall,1,8,1,19,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,136,389813101,7.6,85,67,784257,5,Spring,0,4,1,17,8,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,161,453829060,6.7,84,67,322271,11,Fall,1,3,1,4,20,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,95,356461711,8.1,98,94,853260,6,Summer,0,5,1,8,6,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,112,213515506,6.6,30,35,568892,10,Fall,0,6,1,12,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,130,315058289,7.9,93,74,841956,11,Fall,1,3,1,21,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,140,380270577,7.6,80,68,869844,5,Spring,0,5,1,21,5,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
