Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,actor_popularity,writer_popularity,is_english,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
88,161321843,6.5,37,49,231694,7,2,0,4,18,5,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,368623860,6.5,71,61,224438,7,2,0,4,12,21,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,330360194,6.5,29,44,767293,3,1,0,10,21,11,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,2721100,5.9,67,44,9114,7,2,0,1,9,3,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,424668047,7.5,90,76,738279,11,0,1,8,19,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
136,389813101,7.6,85,67,784257,5,1,0,4,17,8,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,453829060,6.7,84,67,322271,11,0,1,3,4,20,1,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,356461711,8.1,98,94,853260,6,2,0,5,8,6,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,213515506,6.6,30,35,568892,10,0,0,6,12,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,315058289,7.9,93,74,841956,11,0,1,3,21,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,380270577,7.6,80,68,869844,5,1,0,5,21,5,1,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,292324737,5.6,49,52,268625,11,0,1,4,16,3,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,358995815,7.9,82,64,416650,5,1,0,4,19,21,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,292587330,8.8,87,74,2645456,7,2,0,12,22,6,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,402111870,6.0,19,35,438386,6,2,0,13,14,19,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,407774549,7.4,90,73,912982,5,1,0,9,21,16,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,412845172,7.3,93,76,713792,6,2,0,3,14,5,1,10,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1543966,6.9,64,70,3211,2,3,0,2,7,4,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,306169268,7.0,68,59,620895,7,2,0,10,31,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132,234037575,7.2,74,66,521450,11,0,1,8,9,6,1,2,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,210460015,8.4,97,81,635840,11,0,1,3,7,4,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,250105651,7.9,90,82,720330,6,2,0,2,26,11,1,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,322719944,6.1,41,58,340993,5,1,0,3,29,8,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,320314960,6.6,72,58,299251,12,3,1,5,33,9,1,1,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,439454989,7.9,99,92,449151,6,2,0,27,8,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,172558876,6.5,30,39,356943,5,1,0,3,29,21,1,2,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,220159104,7.7,98,87,391467,7,2,0,4,40,13,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
158,166112167,5.8,40,49,407288,11,0,1,10,16,5,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,238679850,7.0,71,61,424252,5,1,0,6,27,14,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,317101119,6.2,77,65,498672,5,1,0,27,29,17,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,324591735,7.6,84,66,700755,5,1,0,5,20,14,1,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,374337514,7.5,93,83,731533,6,2,0,9,12,11,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,363070709,8.0,85,65,1184064,2,3,0,2,16,13,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,460998507,8.6,93,90,1493579,5,1,0,5,14,5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,160891007,7.3,83,68,458134,10,0,0,1,14,15,1,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
